"Software-ID";"Asset-ID";"Gerätename";"Softwarename";"Version";"Hersteller";"Lizenzstatus";"Update-Status";"Kritikalität";"Bemerkung"
"SW-0002";"AS-0003";"MARTIN";"Chrome";"1.0";"Google\Chrome";"Prüfen";"Prüfen";"Normal";"Automatisch erkannt: Chrome Remote Desktop"
"SW-0003";"AS-0003";"MARTIN";"Adobe Acrobat Reader";"25.001.20937";"Adobe";"Prüfen";"Prüfen";"Hoch";"Automatisch erkannt: Adobe Acrobat (64-bit)"
"SW-0004";"AS-0003";"MARTIN";"Microsoft Office";"16.0.19929.20106";"Microsoft Corporation";"Prüfen";"Prüfen";"Hoch";"Automatisch erkannt: Microsoft Office Professional Plus 2021 - de-de"
"SW-0005";"AS-0003";"MARTIN";"Visual C++ Redistributable";"8.0.59193";"Microsoft Corporation";"Prüfen";"Prüfen";"Hoch";"Automatisch erkannt: Microsoft Visual C++ 2005 Redistributable"
"SW-0006";"AS-0003";"MARTIN";".NET Runtime";"80.28.51996";"Microsoft Corporation";"Prüfen";"Prüfen";"Hoch";"Automatisch erkannt: Microsoft .NET Runtime - 10.0.7 (x64)"
"SW-0007";"AS-0004";"GOLDENZOPF";"Firefox";"";"Mozilla";"Prüfen";"Prüfen";"Normal";"Automatisch erkannt: firefox"
"SW-0008";"AS-0004";"GOLDENZOPF";"Chrome";"147.0.7727.138";"Google LLC";"Prüfen";"Prüfen";"Normal";"Automatisch erkannt: Google Chrome"
"SW-0009";"AS-0004";"GOLDENZOPF";"Adobe Acrobat Reader";"26.1.0.0";"Adobe";"Prüfen";"Prüfen";"Hoch";"Automatisch erkannt: Adobe Acrobat"
"SW-0010";"AS-0004";"GOLDENZOPF";"Microsoft Office";"";"Microsoft";"Prüfen";"Prüfen";"Hoch";"Automatisch erkannt: Microsoft Office Click-to-Run Service"
"SW-0011";"AS-0004";"GOLDENZOPF";"Visual C++ Redistributable";"winget";"Microsoft";"Prüfen";"Prüfen";"Hoch";"Automatisch erkannt: Microsoft Visual C++ 2005 Redistributab… Microsoft.VCRedist.2005.x86"
"SW-0012";"AS-0004";"GOLDENZOPF";".NET Runtime";"48.144.23141";"Microsoft Corporation";"Prüfen";"Prüfen";"Hoch";"Automatisch erkannt: Microsoft .NET Runtime - 6.0.36 (x64)"
"SW-0013";"AS-0004";"GOLDENZOPF";"UniGet / WinGet";"2025.1016.311.49";"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US";"Prüfen";"Prüfen";"Normal";"Automatisch erkannt: Microsoft.Winget.Fonts.Source"
